ID,English,Others,
mainchannelname0,鬼魂狂热者,GhostPussyLover,@NEW
mainchannelname1,月子狩猎频道,TsukikoTheHunter
mainchannelname2,灵异情侣,ParanormalCouple
mainchannelname3,天选之人,TheChosenOne,@NEW
wendytitle,我们抓到真的鬼了！！！,Asshole cheating on me for a ghost pussy...
poltertitle,我们遭遇了暴灵！,Flying fuck with a 'Poltergeist'...
kappatitle,调查中捕获河童！！！,Kupper pussy drilled during a case.
shadetitle,「羞影」鬼现身了！！！,Horny Shade ghost fucked..
kuntiltitle,致命「哭啼女」被捕获！！！立即观看！,This Countlanak never knew who fucked her...
bloodmartitle,传说中的镜中鬼「血殇玛丽安」！,Pounding the butt slut Bloody Mariam...
banshtitle,扛过哀嚎妖的尖叫将它捕获……,Put earplugs on and enjoy Banshee sex....
gwistitle,这只可爱的鬼爱上了我……,This ghost gives best boobjob!!!
hachititle,冒着命根子的危险去抓八尺夫人……,Fucking ghost of Mrs. Hirakawa...
onibititle,抓到了最「火辣」的鬼！！！字面意思……,This ghost fried my meat during sex!!!
conjurertitle,我被这个性感的咒唤师魅惑了……,This ghost love my dick massive...
yureititle,差点在这次契约中跟它合为一体……,I can’t resist a boobjob from this ghost...
raionnatitle,抓到了一只真正的雷女……,It was shockly good sex with her...
succubititle,我的鬼压床恶魔竟然是真的！！！,If that’s my sleep paralysis demon then...
akamanttitle,赤覆面真面目曝光！！,Aka-Manto face reveal!!,@NEW
oshiriontitle,与淫祭女进行性仪式！,Perform sex ritual with a sex priestess!,@NEW
phototitle,不上镜的鬼被拍到了！,Not so photogenic ghosts caught on camera!
nureonnatitle,有什么东西滑进了我们的镜头！,Something slithered into our camera!
usernameg1,瑞希频道,AnkoSatoFromCB
usernameg2,赤Boss,AkaneFromCB
usernameg3,真澄HillF,MasumiFromCB
usernameg4,真留美亚Hillford,ReikoNotFromCBAnymore
usernameg5,纯纱Shepherd,JunsaSakurai
usernameg6,精液收集者,CumCollector
usernameg7,榨乳妈咪,MilkingMommy
usernameg8,月子含屌,TsukikoSuckDIck
usernameg9,留美亚猎人,RumiaTheHunter
usernameg10,粉红守护者,PinkGaurdian
usernameg11,美味玲子,YummyReiko
usernameg12,戒指男,RingMan
usernameg13,狐妖,FoxDemon
usernameg14,月子的恋人,JackHirakawa
usernameg15,向日葵市警署,Sunflower City PD
usernameg16,大姐头,BigSister
usernameg17,裕美的孙子,Himawari’s Grandson
usernameg18,拓Fujimori,TatsukaFujimori
usernameg19,渣男,KunioKobayashi
usernameg19a,含屌女,CockSucker
usernameg20,太一的粉丝,Len
usernameg21,良美山田,YoshimiYamada
usernameg22,最强男,KenFromCB
usernameg23,织姬,Orihime
usernameg24,瑞希粉丝,AbossInCB
usernameg25,网球冠军,TennisChamp
usernameg26,我是猫,NekoYokai
usernameg27,绝对不是机器人,KanaTheRobot
usernameg28,富家女,Himawari’s Granddaughter
usernameg29,英雄Hiro,K-Hiro
usernameg30,猫鬼娘,GhostChick
usernameg31,樱井先生,Mr.Sakurai
usernameg32,佐佐木美智子,SasakiMichi
usernameg33,山田正夫,MasaoYamada
usernameg34,游戏少年,GamerBoy
usernameg35,八尺夫人粉,TallLadyLover
usernameg36,群P荡妇,GangbangSlut
usernameg37,博美Fisher,SecretlyHornyNeighbour
usernameg38,伊奈藤原,IneFujiwara
usernameg39,纯纱粉丝,HornyForJunsa
usernameg40,向日葵市新闻,NEWS Lady
topcomment,热门评论：,Top Comments:-
userdialog1,啊！我告诉过你别给我看这些鬼视频。该死！我后悔跟你们玩那个挑战了。,Shit! I’m so scared now I have to go to my boyfriend’s place and hold his cock for support.
userdialog1a,太一……这女孩是谁？你要是敢甩了我闺蜜你就死定了。,Taichi you better not be dumping Tsukiko for that new chick.
userdialog2,@AnyaSawyerVT 我有多余的尿布你要不要。看完这个视频你比我儿子更需要。,@AnkoFromCB No need to say thanks. Just enjoy some time with your boyfriend.
userdialog3,我信穿越都不信有鬼。你们这些驱鬼师就是在装逼吧。,I’ve seen a ghost with my own eyes but I still believe it’s fake.
userdialog4,加油啊各位！我给你们打call！,Do your best you guys! I’m cheering for you.
userdialog5,喂，你们来我这驱鬼的时候能不能……别什么都拍？,"Hey, can you not record me getting fucked by my student?"
userdialog6,哇哦！要是每天都能被那样操我也想当鬼了。太一宝贝，打YUM1 S1U7找我。,"Oh, wow! I would like to be a ghost if I get fucked like that everyday. Taichi baby, call me on YUM1 S1U7."
userdialog7,我在平冢病院男病房听到有微弱的呻吟声。我跟儿子说了但他不当回事，说那鬼不害人。,Go to male ward in abandoned asylum. You will see a faint silhouette of a ghost girl taking multiple ghost dicks.
userdialog8,操月子！这贱人啥都不干就只会被太一操屁股。你不如来照顾照顾我和我兄弟的鸡巴？,Fuck Tsukiko! I want to see her taking more dicks at same time like in my profile picture.
userdialog8a,视频里没看到月子！肯定忙着挨操呢吧。哪能见到她让我也来一发？,I didn’t see Tsukiko in this video! Must be busy taking multiple cocks. Where can I meet her to take care of mine too?
userdialog9,干得好！你确实有潜力，但记住一件事。鬼不是你的朋友。,This is gonna make ghost attack human on purpose as they wanna get fucked by such a good looking ghost hunter.
userdialog10,啊……原来你们把那边的鬼解决了。怪不得求救信号突然消失了。,You could have dealt with the ghost before I get there right? What a total waste of time.
userdialog11,我小穴被恶灵附身了。需要一场驱魔性爱才行。,My pussy is haunted by an evil spirit. I need a good exorcising sex.
userdialog12,月子我敢肯定活都是太一干的哈哈哈……对了今天来香理的餐厅吗？我请客。,"Tsukiko, you said you were busy ghost hunting. You are doing shit in this video. You could have spent that time taking care of my cock hahaha…"
userdialog12a,那女孩！我在哪见过她。,"That girl… yes, I fucked her sister’s ghost in the asylum back in the day."
userdialog13,哦，太一。你做得真不错。我想帮你释放一下压力呢。,"Taichi, after you are done help me exorcise my inner demons. Hehe..."
userdialog14,我去月子！你太辣了。以前怎么没注意到你这么性感。要不要见个面？,Tsukiko you are looking hot. If you ever want a third dick. I'm always ready.
userdialog14a,月子今晚有空？能约她吗？,How the fuck do you get these hot girls? I'm handsome and rich. What do you have that I don't?
userdialog15,感谢你们守护城市安全！我们能对付罪犯但鬼是另一个级别的。,Thanks for keeping our city safe! We can deal with criminal but ghosts are on different level.
userdialog16,太一你干嘛要做这个？以前听说美佐枝她哥干这事我还笑她，现在我自己的哥哥也变成变态了。,Thank goodness! I was tired of listening Mitsuri about her brother banging Reiko. Now I can show them that you are equally perverted.
userdialog16a,我哥是个好孩子。他帮我们所有人解决鬼的问题。,"Taichi, don't fucking tell our parents about my boyfriend. I will keep my mouth shut as long as you keep yours."
userdialog17,别担心瑞希，你一个人害怕的话随时可以来我家住。,Thanks! Because of these videos Anko gets an excuse to stay at my place. She gives me a blowjob every time.
userdialog18,哦，好怀念和闺蜜一起驱鬼的日子。那时候真的很好玩。,Seeing these videos I miss ghost hunting with my friends.
userdialog19,嘿嘿……就是我怂恿你们在调查时做爱的。我在onlysexvideos.com上卖你们的视频。,I sell your sex videos for money. I'm the one who tell you to have sex on camera.
userdialog19a,都怪你！你他妈干嘛非要把身边每一次性爱都录下来？,Thanks! Now I can enjoy cocks once again.
userdialog20,哦……新视频。我一直在等更新。好喜欢看太一工作的样子，太帅了。,In another universe I'm your wife you know.
userdialog21,嘿，能把你们的报告发给我学习吗？我朋友不干驱鬼师了，我觉得挺有意思的。,Can you send me your report to study?
userdialog22,太一你个走运的家伙！现在我明白你为什么突然答应当驱鬼师了。,Taichi you luck bastard! Now I know why you agreed to become a ghosthunter all of a sudden.
userdialog23,你好，你们什么时候来阳光公寓驱鬼？,"Hello, when you will be dealing with ghost at Sunrays apartment building?"
userdialog24,哦，看完这个好想要。这视频真适合来一发。,"Oh, I'm feeling horny after this. It's a good video to masturbate to."
userdialog25,为什么给我推荐这个？我又没搜过操鬼的视频。,Why is this recommended to me? I didn’t even looked for someone fucking a ghost.
userdialog26,嘿嘿……太一，记住不是所有鬼都是坏的。有的也能当好朋友哦。,Remember not all spirits are evil. Some are good friends like me.
