ID,English,Others,Japanese
jankengirl1,薫：,Rose:,
jankengirl2,纯纱：,Junsa:,
jankengirl3,葵：,Aoi:,
jankengirl4,静香：,Shizuka:,
jankengirl5,珠子：,Juko:,
jankengirl6,桃子：,Momoko:,
jankengirl7,真理：,Mari:,
jankengirl8,陌生人：,Stranger:,
jankengirl9,鸠：,Hanako:,
playername1,你：,MR Protagonist:,
jankentitle,猜拳,Janken,
selectgirl,女孩,Girl ,
sgirlname1,姓名：薫,Name : Big Boob Anko,
sgirlname2,姓名：纯纱,Name : Slutty Elf,
sgirlname3,姓名：雅典娜,Name : Jealous Bitch,
sgirlname4,姓名：静香,Name : Horny Cop,
sgirlname5,姓名：珠子,Name : Milk Factory,
sgirlname6,姓名：桃子,Name : Cumslut,
sgirlage1,年龄：21岁,Age : 21 years,
sgirlage2,年龄：41岁,Age : 41 years,
sgirlage3,年龄：21岁,Age : 21 years,
sgirlage4,年龄：33岁,Age : 33 years,
sgirlage5,年龄：42岁,Age : 42 years,
sgirlage6,年龄：44岁,Age : 44 years,
sgirloccup1,职业：服务员,Occupation :  Waitress,
sgirloccup2,职业：教师,Occupation :  Teacher,
sgirloccup3,职业：店员、漫画家,"Occupation :  Store Clerk, Manga Artist",
sgirloccup4,职业：警察,Occupation :  Police Officer,
sgirloccup5,职业：家庭主妇,Occupation :  Housewife,
sgirloccup6,职业：厨师、送餐员,"Occupation :  Chef, Delivery Lady",
rumikogameintro1,玩得真开心！希望你之后能好好学习。好了，我得回家了。再见！,That was amusing! Did you just get a message from someone?,
rumikogameintro2,等等！你现在不能走。凉子刚发消息给我，要我和你拍一集节目。,"Huh, no! There's no- Huh, I just got a message from Ryoko. How? Did you ask her to message?",
rumikogameintro3,太一，别闹了！我知道你想和我多做几次，但我不能留下来。,"No! I just took a hunch as she was not here. By the way, she asking us to make an episode right?",
rumikogameintro4,我没开玩笑！你看！你也知道我们得听老板的命令，对吧？,"Yeah, oh I see... You were messaging her a while ago for this isn't it?",
rumikogameintro5,嗯……好吧……我就跟拓说我还在姐姐家。我们快点把它拍完吧！,No! I was messaging Takeru that I will be little late tonight. Now we shouldn't keep her waiting...,
rumikogamewon,太一，你刚才是故意装傻的吧？好了……我要回家了。,You 'dung' head! How could you lost even after I gave you a 'copulating' hint? Bye!,
rumikogamewoncheat,就算作弊了你还输？好吧……我得回家了。再见……,"Even after cheating, you lost! I guess you don't find my butt that interesting any more. Bye!",
rumikogamelost,嘿嘿……希望没人注意到我给你放水了。好了，我们去后门出口那边做吧。,Hmm... I've messaged my husband that I will be late. Now let's get to back exit and copulate more...,
rumikogamelostcheat,我不知道你为什么要作弊，但赢了就是赢了。我们去后门出口那边吧。,A win is a win! Now make sure to ejacualate as much as you want in my butt.,
rumikovictory11,[PLAYER]我得坦白一件事。凉子根本没叫我们做任何事。那条消息是上个月的。,[PLAYER]Ryoko said you asked her to call me and make a new episode.,
rumikovictory12,@2-你！我就知道。如果凉子真的要你和我拍节目，她自己会来的。,@2-What non sense! Why would I do such thing?,
rumikovictory13,[PLAYER]你当时急着要回家嘛。我也不知道该怎么留住你。,[PLAYER]Because you want to have sex with me I guess. Well I can't complain about it because…,
rumikovictory14,[PLAYER]既然你已经跟家里说晚归了，我们不如在这里多做一会儿。[END],[PLAYER]If I don't do it with you I have to do it with Mrs. Yamada.[END],
rumikovictory21,[PLAYER]小声点行吗？真理应该下班了，其他员工会说我们的。,[PLAYER]Are you moaning loudly on purpose to get caught?,
rumikovictory22,@2-嗯……那我们别在这做了。出去找个地方吧。,@2-They the 'copulation' you are afraid of? You will not be the one getting in any trouble.,
rumikovictory23,[PLAYER]不用！只要不被听到就没事。我一秒钟都不想浪费。[END],[PLAYER]People will began to think I'm into old hags. I only do this for money.[END],
rumikovictory31,[PLAYER]该死！纯纱阿姨，你的屁股太棒了。我是说，除了韦恩太太，就属你的最让人欲罢不能。,[PLAYER]Shit! It's Mrs. Yamada. She is asking why am I not home yet.,
rumikovictory32,@2-嘘！你干嘛喊那么大声？肯定有人听到了。你想害我们被发现吗？,@2-I don't understand why you whine about her so much? It's not like she is that ugly.,
rumikovictory33,[PLAYER]抱歉！我刚才实在忍不住了……你知道我有多喜欢操你那甜美的屁股。[END],[PLAYER]Her face is not the problem. Her insatiable sexual hunger is. She makes me fuck her all night.[END],
rumikovictory41,[PLAYER]几年前你连碰都不让我碰，现在我们连孩子都有了。,[PLAYER]I can't believe I have a child with my girlfriend's mother. It's all Ryoko's fault.,
rumikovictory42,[PLAYER]谁能想到你竟然是这么会偷情的妻子。,[PLAYER]She gave me a broken condom and said I could cum insidd your without any worries.,
rumikovictory43,@2-我也不知道为什么会那样做……我只是觉得……如果是你的话，就没关系。,@2-It was me who bit a hole in it when I was putting it on your cock with my mouth.,
rumikovictory44,[PLAYER]嘿嘿……我们现在有个秘密家庭了。别担心，就算我以后结婚了，我也会永远爱我的女儿。[END],[PLAYER]Oh... so you did it so you can blackmail me for more sex right... Just like Mrs. Yamada.[END],
rumikovictory51,@7-有人在吗？不好意思！这里不能做那种事。就算你们是……也得付房费。,@7-Who the fuck is there? You cheap bastard rent our rooms and have sex there.,
rumikovictory52,@7-哦，太一！我以为你们走了。我知道你们时间到了，但既然我在，你们还可以用房间。,@7-Shit! Pardon my language. I had no idea it was our golden customers.,
rumikovictory53,[PLAYER]没关系。我们再做一次就走。谢谢你的好意。,[PLAYER]It's okay! We shouldn't have had sex here.,
rumikovictory54,@7-好的……需要什么就跟我说。对了……樱井先生在前台。,@2-No it's fine! You can have sex any where in the hotel. By the way... her husband is here.,
rumikovictory55,@2-我老公！他一定是想给我个惊喜，像上次一样。太一，我们得赶紧——,@2-What? Why is he  here? You little 'dung'! Did you call my husband to break up my marriage.,
rumikovictory56,[PLAYER]冷静！我觉得他不会找到这里来。我快结束了，再等一下。[END],@7-He is not here to for you. He brought some girl dressed like Ryoko to fuck.[END],
roseintro1,太一，你干嘛把我叫醒？我还以为你会忍不住去上葵，毕竟我把她短裤都脱了。,Masuo that’s enough. You have been fucking Aoi for too long. It’s my turn now.,
roseintro2,等等……我以为那个笨蛋在……算了……你们俩随便吧，动静小点就行。,"Hey, why the heck do you care how long he fucks me? He is my boyfriend.",
roseintro3,薫，你之前不是想让我和你姐姐还有她男朋友来个双人约会吗？,"Alright Rose, what do you want? Do you want me to take to Kana's restaurant for food?",
roseintro4,可以啊，只要你参加今天的后穴猜拳秀节目。,It must be closed right now but I promise to take you there tomorrow.,
roseintro5,真的！那太简单了。我可以直接——,Who said anything about food? I'm here  for your cock. Fuck me right now.,
roseintro6,这次你不能用超能力。必须由你先翻牌。,"But I was doing it with Aoi. Alright, if I beat you Janken only then I will have sex with you.",
roseintro7,那太不公平了！除非你答应带我去星梅轩吃一个星期的饭。,Coward! Always hide behind a stupid game show. I will try my best to win.,
rosegamewon,嘿嘿……我赢了！没有靠超能力哦。别担心太一，明天我们会玩得很开心的。,I won! Without even rely on my powers. You are all mine tomorrow.,
rosegamewoncheat,你连作弊都输了。看来就算对我不利，我也能赢你。,Wow! You tried everything and yet lost. Looks like there's no escape from me. I will see you tomorrow.,
rosegamelost,哼！你早就知道我会输。我就不该跟你玩这破游戏，直接让你上就好了。,You won only because you didn't let me use my powers. This will not be only time you fuck me.,
rosegamelostcheat,太赖了！你不让我用超能力，自己还作弊。骗子！骗子！骗子！,The fuck! You cheated to avoid fucking me all day tomorrow. Well I will think about something soon.,
rosevictory11,@1-嗯……！太一，明天你想怎么操我都行，但现在……让我睡觉。,@1-Come on fuck harder! Think like you are actually fucking Aoi.,
rosevictory12,[PLAYER]来吧薫！我堂堂正正赢了你。让我用我这根犒劳你柔软的屁股。,[PLAYER]I'm trying my best but I can't imagine doing it with her if it's not her.,
rosevictory13,@1-好吧，但你轻一点的话我就继续睡了。[END],@1-Shame! I'm really jealous of that bitch.[END],
rosevictory21,@3-太一，来操我吧！她叫得那么大声，邻居都要被吵醒了。,@3-Don't worry Masuo. I can understand. These sluts can't let me have a happy life with my love.,
rosevictory22,[PLAYER]我们唯一的邻居是韦恩太太。她不会介意她女儿找点乐子的。,"[PLAYER]Yeah, I'm only doing this because it's my job. Ryoko will fired me if I don't fuck the losers.",
rosevictory23,@3-随你便！等邻居投诉我们噪音的时候，别来求我帮你摆平。[END],@3-Why don't you leave working for Ryoko then? It's not like it's the only job you can do.[END],
rosevictory31,[PLAYER]嘿薫，姐姐说你们以前在山奈市就见过面。,[PLAYER]I don't know why sis wants me to marry you. I love Aoi. I must make her understand it.,
rosevictory32,@1-对，我在找我姐姐的时候遇见了她。我在那儿的时候她一直照顾我。,@1-Well I look like Himawari. That makes me 3rd most beautiful girl in the country.,
rosevictory33,@1-她让我到向日葵市找你，说你能帮我找到爱丽丝。嗯……,@1-She know keeping you from having a girlfriend will make you fall for slut like her friend Tomo.,
rosevictory34,@1-我还答应她，一旦找到姐姐，我就嫁给你，作为她帮我的回报。,@1-So out of fear she asked me to wed you.,
rosevictory35,[PLAYER]哦，所以每次我跟她说和你在一起，她那么高兴。她是真的想让我们结婚啊。哈哈……,"[PLAYER]Does she think I'm a fool. I know Tomo is just for fucking, not for marriage.",
rosevictory36,@3-嗯，你妈想让我当你老婆。可惜这事成不了。[END],@3-Well your cock can make you take foolish decisions in life so... she is not wrong to worry.[END],
rosevictory41,[PLAYER]嘿嘿……我很高兴是可爱的妹妹能随时和我做。,[PLAYER]Well at least I got the busty sister with huge melons and no shitty attitude.,
rosevictory42,@1-嘿，我姐姐也很可爱啊。你只是还没看到她那一面。,@1-My sis doesn't act shitty when she is alone with her boyfriend. She is more pervy compare to me.,
rosevictory43,[PLAYER]也许吧……我和她不太熟，因为我的好友拓一点都不喜欢她。,[PLAYER]Still don't care! I would still like to stay friends with Tatsuka you know.,
rosevictory44,@1-她长得跟我一样却不讨厌我，真让我意外。[END],@3-About that... You have no problem sleeping with her. But other girls are too much for you. [END],
rosevictory51,@1-啊！太一，你还没完吗？我都困了。,"@1-Hey, I can feel your cock twitching. Are you about to cum? Don't you dare cum this early!",
rosevictory52,[PLAYER]再等一下薫。我快射了。[END],[PLAYER]I was plowing Aoi for past hour. Now I'm about to bust a huge load inside you.,
aoiintro1,什么……！葵你为什么穿我的T恤？好吧，我再去找一件——,Hey... looking hot! Got time for sex?,
aoiintro2,我把你的T恤都洗了。这是最后一件了。你想要的话……,Umm... well I still got 15 minutes before going to work. We can begin having sex.,
aoiintro3,你得跟我一起拍那个破节目的新一集。,If you are not finished you can always come to my shop and from behind while I work.,
aoiintro4,我没时间搞那个葵。我得去看看凉子为什么叫我去她办公室。,Right... Will your boss be there?,
aoiintro5,你最好答应。快点，你不想让她等太久吧。,She will be coming late today. Why did you ask? Do you want to buy something you can tell me.,
aoiintro6,行！别故意输好吗。我不能一直待在这操你。,well she... extorts sex from me in exchange for getting you a raise.,
aoiintro7,你想得美！我干嘛要故意输？真想要的话我有男朋友的，你知道吧。,That slut! No wonder she was asking me to get you to work in her shop.,
aoiintro8,我只是可怜你才让你跟我做的。快点！开始吧！,"I will message her to see if she coming to work. In the meantime, let's play a game.",
aoigamewon,你是故意输的吧？好吧！我要和我男朋友在店里大战一场了。,That slut will be at work. You stay here. I don't want her flithy mouth wrapped around your cock.,
aoigamewoncheat,你作弊还输了。你真的对我一点兴趣都没有？你的T恤还你，我不稀罕。,She will be at work. You don't come. I know she will find a way to be alone with you.,
aoigamelost,我懂了！你为了能和我做才那么拼命的。好吧，我告诉我男朋友今天没空。,My boss will not be there. We can fuck in the store. Let's go!,
aoigamelostcheat,你为了操我不惜作弊。我男朋友知道了会吃醋的。,Why the fuck do you have to cheat? Anyways my boss is not in the store. We can fuck there.,
aoivictory11,[PLAYER]葵，你操我的时候不用一直盯着我看吧。,"[PLAYER]Aoi, I know you are enjoying it but you should attend that customer in front of you.",
aoivictory12,@3-闭嘴！别指挥我！我就想在你操我的时候看着你的眼睛。,@3-Oh right... I was so busy enjoying it I didn't notice her. You are fucking me so good today.,
