ID,English,Others,
mainmenu,菜单,Menu,
returnmenu,主菜单,Main Menu,
collection,收藏,Collections,
ghostpedia,幽灵笔记,Ghostpedia,
conclusion,结论,Conclusion,
resume,继续,Resume,
options,选项,Options,
optionstitle,选项：-,Options:-,
musics,音乐,Music,
sounds,音效,Sound,
voices,语音,Voice,
back,返回,Back,
howtoplay,游戏说明,How To Play,
ojectives,目标：-,Objectives:-,
objdes1,在鬼魂猎杀中存活。不要被鬼魂侵犯。, Don’t get fucked by  a ghost.,
objdes2,使用动态感应摄像头拍摄鬼魂照片。, Take a photo of ghost using motion camera.,
objdes3,获取 EMF 读数。, Get an EMF reading.,
objdes4,让鬼魂熄灭蜡烛。, Get a candle extinguished by a ghost.,
objdes5,将惧意条提升至 70% 或以上。, Get fear meter to 70% or more.,
objdes6,与月子进行 K.T.E.。, Fuck Tsukiko’s ass.,
objdes6a,与温蒂发生关系。, Have sex with Kaori.,
objdes6b,与瑠美发生关系。, Have sex with Ryomi.,@CHANGED
objdes6c,无法完成此目标。, You don’t have a truck assistant.,@CHANGED
objdes7,在鬼房中使用迷魂香。, Use incense stick in the ghost room.,
objdes8,移动超过 250 米。, Travel more than 250m.,
tvchannels,电视频道：-,TV Channels:-,
chan1,香织物语：最终集,Kara Loft Goblin Gangbang,
chan2,后穴五十日,Ass Fucking a Hot Milf,
chan3,禁止拔出,Zombie Game DLC,
chan4,间谍档案,Spy XXX Files,
chan5,秘密拍手党,Secret Fuck,
lunacloth,已收集服装：-,Collected Cloths:-,
cloth1,校服,College Uniform ,
cloth2,破烂衣,Roes’s Cloths,
cloth3,名都子套装,Nadeko’s Outfit,
cloth4,戒指男套装,Ringman Outfit,
cloth5,白色T恤,White T-Shirt,
cloth6,赤猫组,Red Kat Gang ,
cloth7,女仆装,Maid Uniform ,
cloth8,性感装,Sexy Cloths ,
flashdrive,U盘：-,Flash Drives:-,
fdrive1,月子的U盘,Tsukiko's Flash Drive,
fdrive2,増夫的U盘,Masuo’s Flash Drive,
fdrive3,奥利维亚的U盘,Yoshimi’s Flash Drive,
fdrive4,葵的U盘,Aoi's Flash Drive,
fdrive5,桃子的U盘,Momoko’s Flash Drive,
fdrive6,朋的U盘,Tomori’s Flash Drive,@CHANGED
recruits,招募：-,Recruits:-,
recgirl1,澪子（画廊）,Sawako (Gallery),
recgirl2,名都子（温度计升级）,Nadeko (Thermometer Upgrade),
recgirl3,奈美（KTE 可能恢复惧意或生命值）,Nabiki (KTE may heal fear or HP),
recgirl4,蓮（2倍精力值）,Len (2x Stamina),
recgirl5,美佐枝（x1.5 报酬金额，协助）,Misae (x1.5 Reward Money),
recgirl6,泉（猎杀时救援）,Izumi (Rescues If Hunted),
recgirl7,朋（第二个钱包）,Tomori (Second Wallet),@CHANGED
recgirl8,瑠美（通过性交恢复）,Ryomi (Heal with sex),@CHANGED
ghostype,鬼魂类型：-,Ghost Type:-,
ghostname0,温蒂,Future Wife,
ghostname1,暴灵,Poltergeist,
ghostname2,河童妖,Kappa,
ghostname3,羞影,Shade,
ghostname4,哭啼女,Kuntilanak,
ghostname5,血殇玛丽安,Bloody Mariam,
ghostname6,哀嚎妖,Banshee,
ghostname7,冤魂,Gwisin,
ghostname8,八尺夫人,Hachishakusama,
ghostname9,鬼火,Onibi,
ghostname10,咒唤师,Conjurer,
ghostname11,幽灵姬,Yurei,
ghostname12,雷女,Rai-onna,
ghostname13,吸淫蜂,Succubus,
ghostname14,映魅,Photogenic,
ghostname15,濡女,Nure-onna,
ghostname16,赤覆面,Aka-manto,@CHANGED
ghostname17,淫祭女,Sex Priestess,@CHANGED
ghostname18,追音鬼,Teke-teke,
ghostname19,大化妖,Obake,
ghostname99,游魂,Ghost Girl,
ghostabititle,已知习性：-,Known Habits :-,
ghostweaktitle,弱点：-,Weakness :-,
ghostinfo0,这是我迄今为止遇到的最友善的鬼魂。我在一次废弃小屋的契约中发现了她。她曾被某人伤害过，现在住在我家地下室，帮我提升猎鬼技能。项目地址 https://github.com/nekocatso/Lustful-Spirit-Hunt-Chinese,She fucking cute than Tsukiko. I'm glad LAGS have plans for me to end up with her. Until then I have to waste special condoms to fuck her.,
ghostinfo1,极其强大的鬼魂，能够移动沉重的物体。它非常喜欢摆弄周围的物品，有时还会把人扔到房间另一端。,"She has psychic powers and can show you the meaning of 'Love in the Air'. She can fly around when having sex. Despite her strength, her body is quite soft and squishy.",
ghostinfo2,这是一种能够移动重物的强大鬼魂，似乎对水有着特殊的喜好。你经常会看到空的水杯、流水的水槽和地上的水渍。,"Who knew a dive in some radio-active lake could create something unique. She enjoys hurting her partner during sex. Her skin is quite rough and peel off your skin. On the other hand, her groin area is much softer. She also pees on floor a lot.",
ghostinfo3,这个黑暗实体用面具隐藏面容。它很少被看到进行实际活动，偏好黑暗环境，经常关闭电灯开关、电闸或熄灭沿途的蜡烛。,This shy and horny ghost girl loves to attack her victim in the dark. She may add many light bulbs to your expense list. Other than that she is a harmless ghost and must have if you live in dark.,
ghostinfo4,一个长发遮面的吸血鬼。她以在交合时吸取猎物生命力而闻名，有时会对人造成严重伤害以至于需要住院治疗。,A beautiful ghost that love to suck blood out of your mount while riding on your cock. People who managed to plunge a cursed dagger in her ass now get best blowjobs in their lives.,
ghostinfo5,一个喜欢在镜子前欣赏自己容貌的鬼魂。她以频繁与摄像头互动而闻名。猎杀期间，她会待在镜子附近，整个猎杀过程中不移动。,She is daughter of the tall lady ghost. Like her mother she loves it when someone does it in her ass but hate when someone uses her pussy.,
ghostinfo6,一个喜欢用甜美的声音引诱毫无防备的受害者，然后在骑乘他们时用恐怖的尖叫声让他们受苦的鬼魂。,She loves to scream at your face while riding you. Some with earplugs can have fun time with her.,
ghostinfo7,一个喜欢在夜间给沉睡的人做乳交的顽皮鬼魂。她偏好在黑暗中行事，经常试图关闭电闸。,This ghost girl loves to give free boobjobs.  Could be my least favourite ghost after Kappa.,
ghostinfo8,她不是鬼魂但会模仿鬼魂。她喜欢绑架年轻男子供自己取乐。一旦你年满18岁，你就不想独自待在房间里，否则她会来纠缠你。避免在夜间外出，她可能就在角落等着扑向你。,She is an evil clone of Mrs. Hillford with ghostly abilities. She is fast and can teleport to begin hunt from another place.,
ghostinfo9,通常无害的鬼魂，但一旦盯上你就会穷追不舍。她是已知最快的鬼魂，但幸运的是靠近你时会减速。她讨厌火源。,Usually harmless ghost until she sets her sight on you. She is relentless at chasing her prey. She is the fastest ghost known but luckily slows down when she is near you. She hates fire sources.,
ghostinfo10,她自称法师。以绑架男性作为精源而闻名。一旦她盯上你，不达目的决不罢休。受她影响的地方有时会有不同的出口。她也以用假证据愚弄猎鬼者而闻名。,Lust is her older sister. She invites you to different places for sex and to collect your cum. She can sometimes teleport you to different location and create fake evidence.,
ghostinfo11,这种鬼魂通过性行为复制自身。它们很难捕获，因为需要不同的工具。产生蓝色火焰的幽灵姬害怕蜡烛，产生红色火焰的害怕破阴刃。始终让鬼房的灯保持亮着。,This ghost like to replicate itself by engaging in sexual act. They are difficult to catch as they need different tools. You-Rei creating blue flame are weak to candle and the one creating reddish flame are weak to cursed dagger. Always keep the ghost room's light on.,
ghostinfo12,这个恶魔在四处游荡有着某种目的。尽管如此，她仍然给所有人带来麻烦。作为灵异调查员，处理这个威胁是我们的职责。当现场电闸开启时，她可以迅速移动，一眨眼就到你面前。,Fuck the younger sister and help Masuo to fuck the elder one. Put rope in his apartment and lock the door whenever she enter it.,
ghostinfo13,这个恶魔经常在受害者睡觉时玩弄他们。据说与她性交感觉极好，最终会成为一种瘾。每次与她发生性关系都会感到更加疲惫。始终裸睡以避免她。,Don’t fuck around when dealing with her. She will go mad and you might not be able to catch her as she has resistance to cum water.,
ghostinfo14,映魅无法被长时间囚禁。她以从500米范围内任何未覆盖的画作中出现而闻名。意识到猎鬼者的存在后，她会从附近的画作或镜子中开始猎杀来迷惑猎物。,Photogenic can't be held captive for too long. She is known to sniff scent of a single drop a semen within 10km radius. Being aware of a ghost hunter she begins her hunt from any nearby painting or mirror to fool her prey.,
ghostinfo15,顾名思义，这是一种腰以下长着蛇尾的女人。她们通常在水体附近假装遇险来引诱猎物。少数被捕获取乳的被发现会在人类聚居地附近猎食。她会伏击猎杀，但被发现后会追逐玩家。,"As the name suggests, it's a woman with serpent tail below her waist. They are usually near body of water faking distress to lure victims to eat. A few held captive for their milk are seen hunting for prey near human settlements. Does a ambush hunt but chases player once seen.",
ghostinfo16,这个鬼魂过去经常在厕所作祟。现在她会攻击任何挡路的猎鬼者。驱逐她时会造成混乱。她以在门上留下臀印而闻名，只有在摄像机画面中才能看到。,This ghost used to haunt toilets in the past until Masuo found a way to fuck her. During banishment she changes speed controls. She also leave buttprint on doors that are only visible in videocamera. Try talking to Masuo in 202 apartment when he is railing Hinata.,@CHANGED
ghostinfo17,淫祭女似乎在寻找某人。在游荡阶段靠近她可能会触发猎杀。她会在口交时咬下去导致出血。,She is consider harmless as she targets specific people which went unreported. She has a chance to begin a hunt if near the player. Also she sinks her teeth in when giving a blowjob causing bleeding for a while.,@CHANGED
ghostinfo18,?????,?????,
ghostinfo19,?????,?????,
ghostinfo99,一群学生在一个废弃小屋里聚会。其中一人进行了某种仪式，激怒了那里的灵魂。他们匆忙离开了朋友，太害怕了不敢回去救她。别无选择之下，他们联系我来处理这个局面。,I found the spirit of my future wife in an abandoned shed. Unfortunately I have to wait until Mayscape Apartment update is launched to replace her with Tsukiko.,
ghostability0,鬼火、小型物体和画作移动。,"Ghost flames, small objects and painting movement.",
ghostability1,非常活跃，能将人抛离地面，推动重物。,"Very active, can throw someone off the ground, push heavy objects.",
