ID,English,Others,Japanese
welcome,欢迎,Welcome!,いらっしゃいませ！
interbuttons,通过左右两侧的按钮来切换画面。,Interact with buttons on left and right to change screen.,左右のボタンを操作して画面を切り替えます。
howtoplay,游玩方法,Fuck A Ghost,遊び方
howpoint1,A) 找到3个证据。,A) Find 3 evidences.,A)証拠を 3 つ見つけます。
howpoint2,B) 通过行为观察来鉴定。,B) Identify using behaviour.,B)行動を観察する。
howpoint3,C) 在日志中选择鬼魂。,C) Select the ghost in journal.,C)ゴーストを選択します。
howpoint4,D) 捕获鬼魂。,D) Fuck the ghost.,D) 幽霊を捕まえる。
point1explain,你需要使用不同工具找到3个证据（共7种）。紫外线指纹、通灵盒、激光显影、寒温、灵球、灵异笔迹和EMF 4级。工具的详细用法将在后文说明。,"There are 3 evidences(out of 7) you must find using different tools. UV prints, Audio Box, Laser Projection, freezing temps, ghost orbs, writing and EMF Lvl 4. Detailed use of tools is explained later.",幽霊が示した証拠を 3/7 見つけなければなりません。すべての証拠はジャーナルの「結論」タブにリストされます。
point2explain,光找到证据还不够。你必须观察鬼魂的行为来确认它的类型。留意一些特定现象，比如碎玻璃、水渍等。更多鬼魂信息请查看日志。,"Finding evidence is not enough. You have to observe ghost behaviour to confirm it's type. Look for something specific like shattered glass, water puddle, etc. For more information on a ghost, check the journal.",証拠を見つけるだけでは十分ではありません。鏡の幻影、水たまりなどの特定の行動を探します。幽霊に関する詳しい情報は日記で見つけることができます。
point3explain,确认鬼魂类型后，在日志的“结论”标签页中选中它。这是在尝试驱逐鬼魂之前必须完成的步骤。,"Once ghost type is confirmed, select it in the 'conclusion' tab of your journal. It's necessary before trying to fuck a ghost.",ゴーストを確認したら、結論タブのゴーストの一覧から選択します。幽霊を捕まえる前に行う必要があります。
point4part1,D) 捕获鬼魂。（第1部分）,D) Fucking ghost. (Part 1),D) ゴーストの捕獲 (パート 1)
point41explain,你只能在猎杀开始时或猎杀期间捕获鬼魂。使用日志中显示的对应鬼魂的正确工具。一切操作正确后，鬼魂会被击倒。在其附近按下“猎杀”键。,You can capture ghost only during a hunt. You must use correct tool to set the mood. Once it's horny it will spread it's ass wide. Press 'Fuck' key near a horny ghost.,幽霊が狩りを始めたら、捕まえることができます。 それをキャプチャするには、正しいツールを使用する必要があります。 ダウンしたら、「くそ」を押してキャプチャします。
point4part2,D) 捕获鬼魂。（第2部分）,D) Fucking ghost. (Part 2),D) ゴーストの捕獲 (パート 2)
point42explain,鬼魂倒下后，屏幕上会出现两个条。使用上下键控制速度，尽量将指针保持在心形指示器位置。,Manage fuck speed using Up/Down and try matching it with the heart indicator.,上下キーでセックス速度を管理し、インジケーターに合わせて速度を維持するようにしてください。
point4part3,D) 捕获鬼魂。（第3部分）,D) Fucking ghost. (Part 3),D) ゴーストの捕獲 (パート 3)
point43explain,通过匹配速度来填满此条。填满后鬼魂即被捕获。这会消耗精力值。如果精力耗尽，鬼魂将恢复游荡状态。,Like that you must satisfy it before you run out of stamina. If you ran out of it ghost will be disappointed return to it's wandering state.,速度が一致するとクライマックスバーがいっぱいになります。バーがいっぱいになるとゴーストが捕らえられます。スタミナがなくなる前にそれを行ってください。
