ID,English,Others,
aweeklater,一周后...,After this text is disappeared..,
channosig,信号不好？这个频道肯定出问题了。,"Fucking, hell. No signal....",
chanoff,关掉了。,It's turned off.,
drunkgirlcum1,为……为什么我下面这么热？嘿嘿……一定是喝了太多酒的缘故……,Oh you came... great! Now wipe it out and do it again.,
drunkgirlcum2,艾……艾米莉……艾米莉……她走了？,Can’t rely on Emma for anything. I have to do this thing on my own.,
drunkgirlcum3,Zzzzzzzz…… zzzzzzzz………………,I will take a nap while you are getting ready. Zzzzzzzzzzzzzzz.....,
drunkgirlfuck1,哦哦哦哦哦…………好爽…………感觉太太太…………棒了!!!!!!!,It felt realllll..... heee... heee.... did you recoooord it? Lettttt'sss take... another shotttt.... justttt to be suuu- ssssuuuuuu- ssuuuure.,
drunkgirlfuck2,啊啊啊啊……你怎么不录下来？我想让男朋……朋……朋友吃醋……,Don'ttt telll my boyyyfrieeeeendd it's fffff... fake. I wanna see hissss faccccce red with jjjjjjealooooouse.,
drunkgirlfuck3,嗯嗯嗯…………质量一定很好吧。感觉像……真……真人的皮肤一样。,You will know the pppppainnnnn likeee I didddddd when you chhhettt cheeeeatttt on meee.... you fuuuu freaking bassstard.,
drunkgirlidle1,来……来吧……我准备好了……,Hey youuuuuu....! We thought youuu were too scared t- to cooooommmmme.... here. I can't waiiiittttttt.... to cheeeat on my boyfriend. Hop on! Fill myyyy womb with your co- cooooockkkk. Hee.. Hee...,
drunkgirlidle2,你……你话不多啊……你生……生气了吗？,You were right... da- da- daddy. That guy is suuuuuch scumbaggg.... But don't worry. I knoooowwwwww.... how to ex- exact my revenge. Ohhh..... you came.... Welllll. I got no use of this mayyyooooo. Let'ssss doooo... it.,
drunkgirlidle3,他为什么要背叛我……（吸鼻子……）为什么？,You are heeeerrrrreee..... Let's doooo it. Weeeee are faking like in the mooooviiiesss right? Don't forgettttttt to recordddd it.,
drunkgirlintro,艾米莉……你回来了，嘿嘿……我能……我能试试那个玩具了吗……呜……轻点……那东西好痛……人家第一次嘛。,Ahhh finaly... Someone to fuck me. I don’t care if you are a complete stranger but I want that dick inside me. Quick! Hop on...,
ghost1talka1,怎么样？你太弱了，我都不用动手就能把你从地上浮起来。,How you like that? You are so weak I would not need my hands you levitate you off the ground.,
ghost1talka2,喂！你已经昏过去了？天哪，你也太弱了吧。,"Hey! You passed out already! Gosh, you are such a weakling.",
ghost1talka3,我会对你温柔点的，免得把你那东西弄坏。,I will go easy on you so that I wont break your thing.,
ghost1talkb1,喂……你当我是什么？飞毯吗？快从我身上下来！,Hey.... what do you thing am I? A flying carpet. Get off me right now!,
ghost1talkb2,我会乖乖的，爸爸！把你的防护去掉嘛。,I will be a good ghost daddy! Just take your protection off.,
ghost1talkb3,嗯……挺好玩的，但你对我来说有点重了。,Umm... It’s fun but you are a bit heavy for me to carry.,
ghost2talka1,怎么了人类？别担心！虽然我的皮肤粗糙，但我的那里可是又软又滑的哦。,What’s that human? Don’t worry! Even though my skin is rough my crouch is soft and smooth.,
ghost2talka2,你太弱了打不过我的。所以这样也挺好。,You are too weak to fight wrestle with me. So this is fine.,
ghost2talka3,哎呀……你看你的鸡巴在跳呢。它真的很喜欢河童妖的小穴。,Oh my... Look how your cock is twitching. It really liked this Kupper pussy.,
ghost2talkb1,人类和河童妖做爱。人类喜欢河童妖吗？,Human making love with Kupper. Does human like Kupper?,
ghost2talkb2,河童妖很享受。人类不像其他河童妖那样粗暴对我。,Kupper enjoying this. Human not being rough with me like Kuppers.,
ghost2talkb3,我……爱人类的鸡巴……人类爱我吗？是的，不然我们为什么要做这种事……,"I... love human cock... Does human love me? Yes, why would else we would be doing this...",
ghost3talka1,哦……我太粗暴了。对不起，我会温柔的。,Oh... I’m being too rough. I’m sorry I will be gentle.,
ghost3talka2,多陪我玩玩嘛。你想的话我可以多给你撸几次。,Please play more with me. I will give you more handjobs if you want.,
ghost3talka3,我好喜欢你硬硬的鸡巴。握在手里的感觉真好。,I love your hard cock. It feels good in my hand.,
ghost3talkb1,哈啊……感觉好……棒。我好多年没做过这么舒服的爱了。,Hahhh.... it feels sooo... good. I never had this good sex in years.,
ghost3talkb2,呜呜……太感谢你了……我还以为死后就没人会爱我了。,Ohhh... thank you so much... I thought no one will love me after I’m dead.,
ghost3talkb3,现在我们合为一体了……没有什么能把我们分开。,Now we are one... Nothing can separate us.,
ghost4talka1,你的血好新鲜啊。难怪你的鸡巴这么硬。,Your blood is so fresh. No wonder you have such a hard cock.,
