Ke,English,Others,
camera1,摄像机 1,Camera 1,
camera2,摄像机 2,Camera 2,
camera3,摄像机 3,Camera 3,
camera4,摄像机 4,Camera 4,
exit,退出,Exit,
endinvest,结束调查,End Investigation,
nighton,夜视：开启,Night Vision : On,
nightoff,夜视：关闭,Night Vision : Off,
zoom1,缩放 x1.0,Zoom x1.0,
zoom2,缩放 x2.0,Zoom x2.0,
buyitem,购买物品,Buy Items,
chat,聊天...,Chat...,
kneel,请求跪下...,Fuck her ass...,
kte,进行'K.T.E.',Anal Sex Time...,
sextrain,做爱...,Fuck Her...,
ninfoxtransfo,变身...,Fox Mode...,
extelixir,提取灵液...,Fuck Her...,
blightflower,递上灯笼...,Give the lamp...,
goodbye,再见！,Goodbye!,
ghosthunt,鬼魂正在猎杀！,Ghost wanna fuck!,
survivehunt,你从猎杀中存活了！,Shame you avoided fucking!,
ghostescape,鬼魂逃脱了！,You failed to make the ghost cum...,
ghostdown,鬼魂倒下了！,Ghost spread it's ass!,
ghostdone,鬼魂暂时满足了！,Ghost have made you cum!,
ghostmood,鬼魂被击退了！,Ghost is in mood!,
ghost1rev,是暴灵！,It's a Poltergeist!,
ghost1cap,'暴灵'已被捕获。,A 'Poltergeist' is captured.,
ghost2rev,是河童妖！,It's a Kappa!,
ghost2cap,'河童妖'已被捕获。,A 'Kappa' is captured.,
ghost3rev,是羞影！,It's a Shade!,
ghost3cap,'羞影'已被捕获。,A 'Shade' is captured.,
ghost4rev,是哭啼女！,It’s a Kuntilanak!,
ghost4cap,'哭啼女'已被捕获。,A ‘Kuntilanak’ is captured.,
ghost5rev,是'血殇玛丽安'！,It’s ‘Horny Mariam’!,
ghost5cap,血殇玛丽安已被捕获。,Horny Mariam is captured.,
ghost6rev,是'哀嚎妖'！,It’s ‘Banshee’!,
ghost6cap,哀嚎妖已被捕获。,Banshee is captured.,
ghost7rev,是'冤魂'！,It’s ‘Gwisin’!,
ghost7cap,冤魂已被捕获。,Gwisin is captured.,
ghost8rev,是'八尺夫人'！,It’s ‘Hachishakusama’!,
ghost8cap,八尺夫人已被捕获。,Hachishakusama is captured.,
ghost9rev,是'鬼火'！,It’s ‘Onibi’!,
ghost9cap,鬼火已被捕获。,Onibi is captured.,
ghost10rev,是'咒唤师'！,It’s ‘Conjurer’!,
ghost10cap,咒唤师已被捕获。,Conjurer is captured.,
ghost11rev,是'幽灵姬'？,It’s a ‘Yurei’!,
ghost11cap,幽灵姬已被捕获。,Yurei is captured,
ghost12rev,是'雷女'！,It’s ‘Rai-onna’!,
ghost12cap,雷女已被捕获。,Rai-onna is captured.,
ghost13rev,是'吸淫蜂'！,It’s a ‘Succubus’!,
ghost13cap,吸淫蜂已被捕获。,Succubus is captured.,
ghost14rev,是'映魅'！,It’s a ‘Photogenic’!,
ghost14cap,映魅已被捕获。,Photogenic captured.,
ghost15rev,是'濡女'！,It’s a ‘Nure-onna’!,
ghost15cap,濡女已被捕获。,Nure-onna is captured.,
ghost16rev,是'赤覆面'！,It’s an ‘Aka-Manto’!,@NEW
ghost16cap,赤覆面已被捕获！,Aka-Manto captured!,@NEW
ghost17rev,是'淫祭女'！,It’s ‘Sex Priestess’!,@NEW
ghost17cap,淫祭女已被捕获！,Sex Priestess captured!,@NEW
customghostcap, 已被捕获！,,@NEW
customghostrev1,是',,@NEW
customghostrev2,’!,,
wellhide,你藏得很好！,You are well hidden!,
spotted,你被发现了！,You have been spotted!,
cha1col,香织物语电影 1/1,Kara Loft Movie 1/1,
cha2col,五十日性爱电影 1/1,Hot MILF Anal Sex Movie 1/1,
fdrive1not,月子的U盘已收集,Tsukiko’s Flash Drive Collected,
fdrive2not,増夫的U盘已收集,Masuo’s Flash Drive Collected,
fdrive3not,奥利维亚的U盘已收集,Yoshimi’s Flash Drive Collected,
fdrive4not,葵的U盘已收集,Aoi’s Flash Drive Collected,
fdrive5not,桃子的U盘已收集,Momoko’s Flash Drive Collected,
fdrive6not,朋的U盘已收集,Tomori’s Flash Drive Collected,@NEW
wendycloth,鬼魂T恤已收集,T-Shirt for Kaori Collected,
clothcol11,校服衬衫已收集,Uniform Blouse Collected ,
clothcol12,校服裙已收集,Uniform Skirt Collected ,
clothcol13,校服袜已收集,Uniform Socks Collected ,
clothcol21,淫欲紧身衣与手套已收集,Lust Leotard & Gloves Collected ,
clothcol22,淫欲犄角已收集,Lust Horns Collected ,
clothcol23,淫欲靴与尾巴已收集,Lust Boots & Tail Collected ,
clothcol31,破烂衣已收集,Ragged Clothes Collected,
clothcol51,白鞋已收集,White Shoes Collected,
